"country","life_expectancy","healthcare_expenditure","gdp","che_per_capita"
"Afghanistan","62.6","0.1553","516.87","80.27"
"Albania","77","0.068","5278.22","358.92"
"Algeria","74.5","0.0632","3354.15","211.98"
"Andorra","79","0.0905","37207.18","3367.25"
"Angola","62.3","0.0291","1639.95","47.72"
"Antigua and Barbuda","78.8","0.0561","14788.4","829.63"
"Argentina","75.9","0.0998","8560.71","854.36"
"Armenia","72.2","0.1224","4505.87","551.52"
"Australia","84.3","0.1065","55774.16","5939.95"
"Austria","81.5","0.1147","48859.02","5604.13"
"Azerbaijan","66.9","0.0461","4151.02","191.36"
"Bahamas","72.7","0.0759","23862.74","1811.18"
"Bahrain","79.2","0.0472","23501.92","1109.29"
"Bangladesh","72","0.0263","2231.27","58.68"
"Barbados","77.4","0.072","16643.81","1198.35"
"Belarus","72.5","0.0641","6370.49","408.35"
"Belgium","80.8","0.1106","45426.8","5024.2"
"Belize","72.9","0.0692","5267.28","364.5"
"Benin","60.1","0.0259","1240.73","32.13"
"Bhutan","71.6","0.0437","2997.31","130.98"
"Bosnia and Herzegovina","76.2","0.0984","6012.17","591.6"
"Botswana","65.6","0.0619","5863.18","362.93"
"Brazil","74","0.1031","6794.52","700.52"
"Bulgaria","73.6","0.0852","10064.07","857.46"
"Burkina Faso","59.7","0.0672","833.24","55.99"
"Burundi","61.6","0.065","295.83","19.23"
"Cambodia","70.4","0.0751","1542.44","115.84"
"Cameroon","60.8","0.0377","1540.31","58.07"
"Canada","82","0.1294","43427.81","5619.56"
"Central African Republic","54.6","0.094","435.21","40.91"
"Chad","52.8","0.0541","895.75","48.46"
"Chile","79.4","0.0975","13094.46","1276.71"
"China","78.1","0.0559","10307.7","576.2"
"Colombia","74.8","0.0899","5307.22","477.12"
"Comoros","64.2","0.0535","1532.44","81.99"
"Congo","63.8","0.0447","1838.45","82.18"
"Cook Islands","74.7","0.0319","16641.89","530.88"
"Costa Rica","79.3","0.0786","12132.88","953.64"
"Cote d'Ivoire","59","0.0372","2288.12","85.12"
"Croatia","78","0.0777","14028.28","1090"
"Cuba","77.6","0.1249","9499.59","1186.5"
"Cyprus","81.4","0.0809","28570.3","2311.34"
"Czechia","78.6","0.0924","23357.29","2158.21"
"Denmark","81.5","0.1053","60975.68","6420.74"
"Djibouti","62.7","0.0201","3140.34","63.12"
"Dominica","73.6","0.0565","7036.81","397.58"
"Dominican Republic","72.9","0.0494","7167.91","354.1"
"Ecuador","72.2","0.0848","5645.2","478.71"
"Egypt","71","0.0436","3457.21","150.73"
"El Salvador","71.1","0.0985","3903.4","384.48"
"Equatorial Guinea","60.7","0.0377","6279.17","236.73"
"Eritrea","67.1","0.0409","586.05","23.97"
"Estonia","78.3","0.0775","23596.63","1828.74"
"Eswatini","59.7","0.0651","3364.86","219.05"
"Ethiopia","65.4","0.0348","824.39","28.69"
"Fiji","67.9","0.0375","4864.11","182.4"
"Finland","81.9","0.0961","49171.42","4725.37"
"France","82.2","0.1221","39505.84","4823.66"
"Gabon","66.5","0.0343","6681.1","229.16"
"Gambia","62.6","0.0261","704.03","18.38"
"Georgia","72.8","0.076","4207.85","319.8"
"Germany","81.1","0.1282","46678.46","5984.18"
"Ghana","64.1","0.0399","2176.58","86.85"
"Greece","80.9","0.0951","17972.02","1709.14"
"Grenada","74.9","0.0582","8437.55","491.07"
"Guatemala","71.8","0.0647","4470.84","289.26"
"Guinea","59.3","0.0404","1073.65","43.38"
"Guinea-Bissau","60","0.0841","692.8","58.26"
"Guyana","68.5","0.0551","6863.09","378.16"
"Haiti","64.1","0.0322","1463.52","47.12"
"Honduras","71.5","0.0904","2354.12","212.81"
"Hungary","75.7","0.0725","16120.29","1168.72"
"Iceland","82.6","0.0956","59166.92","5656.36"
"India","70.1","0.0296","1913.66","56.64"
"Indonesia","68.8","0.0341","3894.27","132.79"
"Iraq","69.1","0.0508","4251.34","215.97"
"Ireland","82.5","0.071","86098.27","6112.98"
"Israel","82.4","0.0832","46486.03","3867.64"
"Italy","82.4","0.0963","31877.93","3069.84"
"Jamaica","71.9","0.0661","4897.27","323.71"
"Japan","84.7","0.109","40242.06","4386.38"
"Jordan","75.2","0.0747","3998.38","298.68"
"Kazakhstan","70","0.0379","9014.18","341.64"
"Kenya","62.7","0.0429","1936.42","83.07"
"Kiribati","67.3","0.1164","1404.75","163.51"
"Kuwait","76.9","0.0631","24297.7","1533.19"
"Kyrgyzstan","69.6","0.0526","1211.05","63.7"
"Latvia","75.5","0.0745","18239.74","1358.86"
"Lebanon","77.8","0.0795","6895.23","548.17"
"Lesotho","54.7","0.1178","938.7","110.58"
"Liberia","60.9","0.095","487.64","46.33"
"Libya","72.5","0.062","7039.73","436.46"
"Lithuania","75.1","0.0754","20156.47","1519.8"
"Luxembourg","81.4","0.0577","117374.22","6772.49"
"Madagascar","65.2","0.0388","462.57","17.95"
"Malawi","63.7","0.0543","607.03","32.96"
"Malaysia","75.9","0.0412","10150.83","418.21"
"Maldives","79.9","0.1135","7282.37","826.55"
"Mali","58.6","0.0431","822.91","35.47"
"Malta","83.4","0.1084","29175.58","3162.63"
"Marshall Islands","65","0.1301","5631.09","732.6"
"Mauritania","64.5","0.0336","1868.47","62.78"
"Mauritius","74.3","0.0666","8782.73","584.93"
"Mexico","70.1","0.0624","8655","540.07"
"Monaco","86.5","0.0167","182537.3","3048.37"
"Mongolia","72.1","0.0494","4041.17","199.63"
"Montenegro","76.3","0.1142","7600.02","867.92"
"Morocco","73.9","0.0599","3307.48","198.12"
"Mozambique","61.2","0.0762","454.06","34.6"
"Myanmar","66.8","0.0369","1465.99","54.1"
"Namibia","62.8","0.089","4243.57","377.68"
"Nauru","63.4","0.1197","11015.09","1318.51"
"Nepal","69.2","0.0517","1119.61","57.88"
"Netherlands","81.6","0.1114","52183.34","5813.23"
"New Zealand","82.7","0.1003","41930.09","4205.59"
"Nicaragua","71.8","0.0863","1863.11","160.79"
"Niger","61.5","0.062","564.82","35.02"
"Nigeria","52.9","0.0338","2063.57","69.75"
"North Macedonia","75.2","0.0789","5738.55","452.77"
"Norway","83.2","0.1142","67325.12","7688.53"
"Oman","74.8","0.0533","16707.62","890.52"
"Pakistan","66.3","0.0295","1292.94","38.14"
"Palau","65.3","0.1839","14013.78","2577.13"
"Panama","76.7","0.0966","12569.18","1214.18"
"Papua New Guinea","65.8","0.0253","2446.08","61.89"
"Paraguay","73.2","0.0758","5353.35","405.78"
"Peru","73.7","0.063","6056.27","381.55"
